Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Senua's Saga: Hellblade II,Xbox,Xbox,Action,81.0,7.5,2024.0
Zet Zillion,PC,Raw Fury,Card,79.0,8.8,2024.0
Duck Detective: The Secret Salami,PC,Happy Broccoli Games,Adventure,81.0,6.8,2024.0
Rakugaki,PC,Gearbox Publishing,Action,79.0,7.2,2024.0
Elden Ring,PS5,Bandai Namco Games,Action,96.0,8.8,2022.0
The Witcher 3: Wild Hunt - Complete Edition,Nitendo Switch,CD Projekt Red Studio,Action,85.0,8.8,2019.0
NieR: Automata,PC,Square Enix,Action,88.0,8.9,2017.0
NieR Replicant,PC,Square Enix,Action,83.0,9.5,2021.0
Drakengard,PS2,Square Enix,Action,63.0,7.7,2004.0
Drakengard 2,PS2,Square Enix,Action,58.0,6.5,2006.0
Drakengard 3,PS2,Square Enix,Action,61.0,8.1,2014.0
Final Fantasy,PSP,Square Enix,JRPG,67.0,8.3,2007.0
Final Fantasy II,PSP,Square Enix,JRPG,63.0,6.6,2007.0
Final Fantasy III,PC,Square Enix,JRPG,77.0,8.5,2009.0
Final Fantasy IV Pixel Remaster,PC,Square Enix,JRPG,83.0,7.7,2021.0
Final Fantasy V Rebirth,PS5,Square Enix,JRPG,92.0,9.1,2024.0
Cyber Punk 2077,PC,Warner Bros,Action,86.0,7.1,2020.0
Outlast,PC,Red Barrels,Survival,80.0,8.3,2013.0
Outlast 2,PC,Red Barrels,Survival,75.0,7.0,2017.0
Hogwarts Legacy,PS5,Warner Bros,RPG,84.0,8.4,2023.0
Wuthering Waves,PC,Kuro Games,Action,88.0,7.1,2024.0
Genshin Impact,PC,miHoYo,Action,81.0,4.8,2020.0
Honkai: Star Rail,PC,miHoYo,Action,80.0,6.0,2023.0
Kill la Kill: IF,PS4,Arc System Works,Fighting,68.0,6.5,2019.0
Skullgirls: 2nd Encore,PS4,Autum Game,Fighting,82.0,5.5,2015.0
Cytus II,Mobile,Rayark Inc,Rythm,72.0,8.2,2018.0
Blasphemous,Nintendo Switch,Team17,Metroidvania,77.0,8.0,2019.0
Blaphemous 2,PS5,Team17,Metroidvania,84.0,7.8,2023.0
Dead Cells: The Queen & The Sea,Nintendo Switch,Motion Twin,Metroidvania,92.0,8.4,2022.0
EA Sports FC 24,PS5,Electronic Arts,Sport,75.0,2.3,2023.0
Tom Clancy's Rainbow Six Siege,PC,Ubisoft,FPS,79.0,7.0,2015.0
Valorant,PC,Riot Games,FPS,80.0,4.8,2020.0
Counter-Strike: Global Offensive,PC,Valve Software,FPS,83.0,7.3,2012.0
Counter-Strike 2,PC,Valve Software,FPS,82.0,4.6,2023.0
Dota 2,PC,Valve Software,MOBA,90.0,6.5,2013.0
League of Legends,PC,Riot Games,MOBA,78.0,4.8,2009.0
God of War,PS4,Sony Interactive Entertainment,Action,94.0,9.1,2018.0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Nintendo,Action,96.0,8.4,2023.0
MultiVersus,PS5,Warner Bros. Games,Fighting,80.0,6.7,2024.0
Ghost of Tsushima: Director's Cut,PS5,PlayStation Studios,Action,87.0,7.9,2021.0
Minecraft,PC,Microsoft Game Studios,Sandbox,93.0,8.2,2012.0
Subnautica,PC,Unknown Worlds Entertainment,Sandbox,87.0,8.6,2018.0
PlayerUnknown's Battleground,PC,PUBG Corporation,Battle Royale,86.0,4.8,2017.0
Baldur's Gate 3,PC,Larian Studios Games,Action,96.0,8.9,2023.0
Dead By Daylight,PC,505 Games,Survival,71.0,5.5,2017.0
Naraka: Bladepoint,PC,NetEase Games,Battle Royale,71.0,6.0,2021.0
Diablo IV,PC,Blizzard Entertainment,Action,86.0,2.6,2023.0
Bloodborne,PS4,SCEA,Action,92.0,9.0,2015.0
The Last of Us Remastered,PS4,SCEA,Action,95.0,9.2,2014.0
Assassin's Creed: Brotherhood,PS3,Ubisoft,Action,90.0,8.3,2010.0
Grand Theft Auto: Vice City,PS2,Rockstar Games,Action,95.0,8.7,2002.0
Grand Theft Auto: San Andreas,PS2,Rockstar Games,Action,95.0,9.2,2004.0
Grand Theft Auto V,PS4,Rockstar Games,Action,97.0,8.5,2014.0
Red Dead Redemption 2,PS4,Rockstar Games,Action,97.0,8.8,2018.0
DAVE THE DIVER,PC,MINT ROCKET,Action,90.0,8.3,2023.0
Mafia II,PC,2K Games,Action,77.0,8.3,2010.0
NBA 2K24,PS5,2K Games,Sport,68.0,2.2,2023.0
Team Fortress 2,PC,Valve Software,FPS,92.0,8.6,2007.0
Hades,PC,Supergiant Games,Roguelike,93.0,8.8,2020.0
Persona 5 Royal,PS4,Atlus,RPG,95.0,8.7,2020.0
Stardew Valley,Nintendo Switch,ConcernedApe,Simulation,89.0,8.9,2016.0
Celeste,PC,Matt Makes Games,Platformer,92.0,8.7,2018.0
Hollow Knight,PC,Team Cherry,Metroidvania,87.0,8.9,2017.0
