Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Senua's Saga: Hellblade II,Xbox,Xbox,Action,81,7.5,2024
Zet Zillion,PC,Raw Fury,Card,79,8.8,2024
Duck Detective: The Secret Salami,PC,Happy Broccoli Games,Adventure,81,6.8,2024
Rakugaki,PC,Gearbox Publishing,Action,79,7.2,2024
Elden Ring,PS5,Bandai Namco Games,Action,96,8.8,2022
The Witcher 3: Wild Hunt - Complete Edition,Nitendo Switch,CD Projekt Red Studio,Action,85,8.8,2019
NieR: Automata,PC,Square Enix,Action,88,8.9,2017
NieR Replicant,PC,Square Enix,Action,83,9.5,2021
Drakengard,PS2,Square Enix,Action,63,7.7,2004
Drakengard 2,PS2,Square Enix,Action,58,6.5,2006
Drakengard 3,PS2,Square Enix,Action,61,8.1,2014
Final Fantasy,PSP,Square Enix,JRPG,67,8.3,2007
Final Fantasy II,PSP,Square Enix,JRPG,63,6.6,2007
Final Fantasy III,PC,Square Enix,JRPG,77,8.5,2009
Final Fantasy IV Pixel Remaster,PC,Square Enix,JRPG,83,7.7,2021
Final Fantasy V Rebirth,PS5,Square Enix,JRPG,92,9.1,2024
Cyber Punk 2077,PC,Warner Bros,Action,86,7.1,2020
Outlast,PC,Red Barrels,Survival,80,8.3,2013
Outlast 2,PC,Red Barrels,Survival,75,7,2017
Hogwarts Legacy,PS5,Warner Bros,RPG,84,8.4,2023
Wuthering Waves,PC,Kuro Games,Action,88,7.1,2024
Genshin Impact,PC,miHoYo,Action,81,4.8,2020
Honkai: Star Rail,PC,miHoYo,Action,80,6,2023
Kill la Kill: IF,PS4,Arc System Works,Fighting,68,6.5,2019
Skullgirls: 2nd Encore,PS4,Autum Game,Fighting,82,5.5,2015
Cytus II,Mobile,Rayark Inc,Rythm,72,8.2,2018
Blasphemous,Nintendo Switch,Team17,Metroidvania,77,8,2019
Blaphemous 2,PS5,Team17,Metroidvania,84,7.8,2023
Dead Cells: The Queen & The Sea,Nintendo Switch,Motion Twin,Metroidvania,92,8.4,2022
Arknights,Mobile,YOSTAR LIMITED,Tower Defense,,,2020
EA Sports FC 24,PS5,Electronic Arts,Sport,75,2.3,2023
Tom Clancy's Rainbow Six Siege,PC,Ubisoft,FPS,79,7,2015
Valorant,PC,Riot Games,FPS,80,4.8,2020
Counter-Strike: Global Offensive,PC,Valve Software,FPS,83,7.3,2012
Counter-Strike 2,PC,Valve Software,FPS,82,4.6,2023
Dota 2,PC,Valve Software,MOBA,90,6.5,2013
League of Legends,PC,Riot Games,MOBA,78,4.8,2009
God of War,PS4,Sony Interactive Entertainment,Action,94,9.1,2018
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Nintendo,Action,96,8.4,2023
MultiVersus,PS5,Warner Bros. Games,Fighting,80,6.7,2024
Ghost of Tsushima: Director's Cut,PS5,PlayStation Studios,Action,87,7.9,2021
Minecraft,PC,Microsoft Game Studios,Sandbox,93,8.2,2012
Subnautica,PC,Unknown Worlds Entertainment,Sandbox,87,8.6,2018
PlayerUnknown's Battleground,PC,PUBG Corporation,Battle Royale,86,4.8,2017
Baldur's Gate 3,PC,Larian Studios Games,Action,96,8.9,2023
Dead By Daylight,PC,505 Games,Survival,71,5.5,2017
Naraka: Bladepoint,PC,NetEase Games,Battle Royale,71,6,2021
Diablo IV,PC,Blizzard Entertainment,Action,86,2.6,2023
Bloodborne,PS4,SCEA,Action,92,9,2015
The Last of Us Remastered,PS4,SCEA,Action,95,9.2,2014
Assassin's Creed: Brotherhood,PS3,Ubisoft,Action,90,8.3,2010
Grand Theft Auto: Vice City,PS2,Rockstar Games,Action,95,8.7,2002
Grand Theft Auto: San Andreas,PS2,Rockstar Games,Action,95,9.2,2004
Grand Theft Auto V,PS4,Rockstar Games,Action,97,8.5,2014
Red Dead Redemption 2,PS4,Rockstar Games,Action,97,8.8,2018
DAVE THE DIVER,PC,MINT ROCKET,Action,90,8.3,2023
Mafia II,PC,2K Games,Action,77,8.3,2010
NBA 2K24,PS5,2K Games,Sport,68,2.2,2023
Team Fortress 2,PC,Valve Software,FPS,92,8.6,2007
Hades,PC,Supergiant Games,Roguelike,93,8.8,2020
Persona 5 Royal,PS4,Atlus,RPG,95,8.7,2020
Stardew Valley,Nintendo Switch,ConcernedApe,Simulation,89,8.9,2016
Celeste,PC,Matt Makes Games,Platformer,92,8.7,2018
Hollow Knight,PC,Team Cherry,Metroidvania,87,8.9,2017
Disco Elysium,Nintendo Switch,ZA/UM,RPG,91,8.6,2019
Sekiro: Shadows Die Twice,PC,Activision,Action,90,8.3,2019
Control,"PS5,",505 Games,Action,85,7.8,2019
The Outer Worlds,PS5,Private Division,RPG,82,7.5,2019
Resident Evil 2 (Remake),Xbox One,Capcom,Survival,91,8.9,2019
Death Stranding,PC,Sony Interactive Entertainment,Action,82,7.3,2019
Divinity: Original Sin 2,PC,Larian Studios,RPG,93,8.8,2017
Ori and the Will of the Wisps,PC,Xbox Game Studios,Platformer,90,8.9,2020
Apex Legends,PC,Electronic Arts,Battle Royale,89,7.4,2019
Ghostrunner,PC,505 Games,Action,81,7.7,2020
Dark Souls III,PC,Bandai Namco Entertainment,Action,89,8.6,2016
Returnal,PS5,Sony Interactive Entertainment,Action,86,7.5,2021
The Witness,PC,"Thekla, Inc.",Puzzle,87,8.2,2016
Tunic,PC,Finji,Action,85,8,2022
Fire Emblem: Three Houses,Nintendo Switch,Nintendo,Tactical,89,8.6,2019
It Takes Two,PC,Electronic Arts,Action,88,8.6,2021
Monster Hunter: World,PC,Capcom,Action RPG,90,7.9,2018
Slay the Spire,PC,Humble Games,Roguelike,88,8.1,2019
The Elder Scrolls V: Skyrim SE,Nintendo Switch,Bethesda Softworks,RPG,82,8,2016
Forza Horizon 4,PC,Microsoft Studios,Racing,92,8.5,2018
Terraria,PC,Re-Logic,Action,83,8.6,2011
Horizon Zero Dawn,PC,Sony Interactive Entertainment,RPG,89,8.3,2017
Overwatch,PC,Blizzard Entertainment,FPS,91,7.7,2016
Mass Effect Legendary Edition,PC,Electronic Arts,RPG,86,8.8,2021
Yakuza: Like a Dragon,PC,Sega,RPG,83,8.2,2020
The Legend of Zelda: Breath of the Wild,Nintendo Switch,Nintendo,Adventure,97,8.7,2017
Super Mario Odyssey,Nintendo Switch,Nintendo,Platformer,97,8.9,2017
Horizon Forbidden West,PS5,Sony Interactive Entertainment,RPG,88,8.4,2022
Resident Evil Village,PC,Capcom,Survival,84,8,2021
Metroid Dread,Nintendo Switch,Nintendo,Action,88,8.6,2021
Xenoblade Chronicles 3,Nintendo Switch,Nintendo,RPG,89,8.7,2022
Splatoon 3,Nintendo Switch,Nintendo,Shooter,83,8.1,2022
Return to Monkey Island,PC,Devolver Digital,Adventure,88,7.5,2022
Kirby and the Forgotten Land,Nintendo Switch,Nintendo,Platformer,85,8.4,2022
Marvel's Spider-Man: Miles Morales,PS5,Sony Interactive Entertainment,Action,85,8.3,2020
Bayonetta 3,Nintendo Switch,Nintendo,Action,86,7.8,2022
Ratchet & Clank: Rift Apart,PS5,Sony Interactive Entertainment,Action,88,8.5,2021
Deathloop,PS5,Bethesda Softworks,Action,88,6.8,2021
Ghostwire: Tokyo,PS5,Bethesda Softworks,Action,75,7.6,2022
Monster Hunter Rise,Nintendo Switch,Capcom,Action,88,8.1,2021
Gran Turismo 7,PS5,Sony Interactive Entertainment,Racing,87,6.1,2022
Psychonauts 2,PC,Xbox Game Studios,Platformer,89,8.7,2021
A Plague Tale: Requiem,PC,Focus Entertainment,Adventure,83,8.1,2022
Elden Ring,PC,Bandai Namco Entertainment,Action,96,7.5,2022
Sifu,PC,Sloclap,Action,81,8,2022
The Callisto Protocol,PC,Krafton,Survival,70,6.9,2022
Stray,PC,Annapurna Interactive,Adventure,83,8.2,2022
Triangle Strategy,Nintendo Switch,Square Enix,Tactical,82,7.8,2022
Chicory: A Colorful Tale,PC,Finji,Adventure,88,8.5,2021
Kena: Bridge of Spirits,PS5,Ember Lab,Action,81,8.3,2021
The Medium,PC,Bloober Team,Horror,76,7.1,2021
Tales of Arise,PC,Bandai Namco Entertainment,RPG,87,8.3,2021
Scarlet Nexus,PC,Bandai Namco Entertainment,RPG,80,7.6,2021
Nioh 2,PS4,Sony Interactive Entertainment,RPG,85,8.3,2020
Cyber Shadow,PC,Yacht Club Games,Action,82,7.6,2021
Control: Ultimate Edition,PS5,505 Games,Adventure,88,7.9,2021
Disco Elysium: The Final Cut,Xbox,ZA/UM,RPG,91,8.3,2021
Resident Evil 3 (Remake),PC,Capcom,Survival,80,7.5,2020
Little Nightmares II,Nintendo Switch,Bandai Namco Entertainment,Puzzle,81,8.1,2021
A Plague Tale: Innocence,PS4,Focus Home Interactive,Action,81,8.2,2019
Hellblade: Senua's Sacrifice,Xbox,Ninja Theory,Action,81,8.2,2017
Ori and the Blind Forest,Nintendo Switch,Xbox,Platformer,88,8.7,2019
Hollow Knight: Silksong,PS4,Team Cherry,Action,,,2024
Starfield,Xbox,Bethesda Softworks,RPG,83,7.1,2023
Mortal Kombat 11,PC,Warner Bros. Interactive Entertainment,Fighting,83,8,2019
Dying Light 2,PS5,Techland Publishing,Adventure,,,2022
Far Cry 6,Xbox,Ubisoft,FPS,,,2021
Marvel's Spider-Man 2,PS5,Sony Interactive Entertainment,Adventure,91,8.7,2023
Metroid Prime Remastered,Nintendo Switch,Nintendo,Adventure,94,8.9,2023
Alan Wake II,PC,Epic Games,Survival,87,8.2,2023
Tears of Avia,PC,PQube,Strategy,62,5.5,2020
Baldur's Gate: Dark Alliance,Nintendo Switch,Interplay Entertainment,RPG,75,7.1,2021
Rogue Legacy 2,Nintendo Switch,Cellar Door Games,Action,86,8.5,2022
Desperados III,PC,THQ Nordic,Tactical,86,8,2020
Doom Eternal,PC,Bethesda Softworks,FPS,88,8.9,2020
Return of the Obra Dinn,Nintendo Switch,3909 LLC,Adventure,89,8.3,2018
Crusader Kings III, Xbox,Paradox Interactive,Strategy,91,8.5,2020
Half-Life: Alyx,PC,Valve,FPS,93,9.1,2020
Hades II,PC,Supergiant Games,Action,,,2024
Resident Evil 4 Remake,PS5,Capcom,Survival,93,9,2023
Sonic Frontiers,PC,Sega,Action,72,8.2,2022
Call of Duty: Modern Warfare II,PC,Activision,FPS,76,5.7,2022
Dying Light 2 Stay Human,PC,Techland,Action,76,5.6,2022
Evil West,PC,Focus Entertainment,Action,73,6.5,2022
Nier: Reincarnation,Mobile,Square Enix,RPG,74,6.3,2021
EA Sports FC 24,PS5,Electronic Arts,Sport,75,2.3,2023
Tom Clancy's Rainbow Six Siege,PC,Ubisoft,FPS,79,7,2015
Valorant,PC,Riot Games,FPS,80,4.8,2020
Counter-Strike: Global Offensive,PC,Valve Software,FPS,83,7.3,2012
Counter-Strike 2,PC,Valve Software,FPS,82,4.6,2023
Dota 2,PC,Valve Software,MOBA,90,6.5,2013
League of Legends,PC,Riot Games,MOBA,78,4.8,2009
God of War,PS4,Sony Interactive Entertainment,Action,94,9.1,2018
The Legend of Zelda: Tears of the Kingdom,Nintendo,Nintendo,Action,96,8.4,2023
MultiVersus,PS5,Warner Bros. Games,Fighting,80,6.7,2024
Ghost of Tsushima: Director's Cut,PS5,PlayStation Studios,Action,87,7.9,2021
Minecraft,PC,Microsoft Game Studios,Sandbox,93,8.2,2012
Subnautica,PC,Unknown Worlds Entertainment,Sandbox,87,8.6,2018
PlayerUnknown's Battleground,PC,PUBG Corporation,Battle Royale,86,4.8,2017
Baldur's Gate 3,PC,Larian Studios Games,Action,96,8.9,2023
Dead By Daylight,PC,505 Games,Survival,71,5.5,2017
